text,category,priority
Urgent issue: the customer platform is responding slowly to requests,Infrastructure,Medium
Someone may have stolen my company email login credentials,Security,High
Please help. many employees cannot access the web application,Infrastructure,High
Support needed: i forgot my password for cloud account,Account Access,Low
I received a suspicious email related to company email,Security,Medium
My office computer shuts down immediately after startup,Hardware,High
The entire production environment for internal portal has gone offline,Infrastructure,Critical
Support needed: outlook freezes during normal work,Software,Medium
The entire production environment is offline and nobody can use it,Infrastructure,Critical
Urgent issue: cRM application closes unexpectedly when I use it,Software,Medium
I received an unexpected security alert from Microsoft 365,Security,Medium
Support needed: i need a copy of my invoice for service plan,Billing,Low
My workstation shuts down immediately after startup,Hardware,High
Please help. outlook closes whenever I try to read a message,Software,Medium
I need help resetting my password for admin dashboard,Account Access,Low
I am unable to authenticate to Microsoft 365,Account Access,Medium
An attacker gained administrator access to admin dashboard,Security,Critical
Internet speed is slightly slow in the finance department,Network,Low
Support needed: i need help resetting my password for HR portal,Account Access,Low
Please help. performance of the web application has degraded,Infrastructure,Medium
Please help. wiFi signal is weak in the main office,Network,Low
Please help. there was an unusual login attempt on HR portal,Security,Medium
I need assistance because employees keep losing network connectivity in the main office,Network,Medium
I want to change my employee portal password,Account Access,Low
Please help. some employees are having trouble accessing the cloud platform,Infrastructure,Medium
Network performance is inconsistent in the engineering floor,Network,Low
Please help. a suspicious attachment was sent to my employee portal account,Security,Medium
Support needed: my credentials are being rejected by Microsoft 365,Account Access,Medium
I forgot my password for company account,Account Access,Low
There is an unexpected charge for monthly subscription,Billing,Medium
The password reset link for cloud account has expired,Account Access,Low
Urgent issue: my office computer is making a strange noise,Hardware,Low
I was charged the wrong price for monthly subscription,Billing,Medium
The web application is unavailable for many users,Infrastructure,High
I need assistance because the backend service is experiencing a serious service disruption,Infrastructure,High
Money was taken even though the monthly subscription transaction failed,Billing,High
I received a phishing message asking for my admin dashboard password,Security,High
Please send me a password reset for cloud account,Account Access,Low
My workstation screen flashes while I am working,Hardware,Medium
WiFi disconnects frequently in the meeting area,Network,Medium
WiFi coverage is poor in the meeting area,Network,Low
Please help. i was billed twice for the same software license,Billing,High
My cloud account credentials may have been compromised,Security,High
The desktop computer has completely stopped working,Hardware,High
All customers have lost access to the internal portal,Infrastructure,Critical
The network connection keeps dropping in the support department,Network,Medium
Urgent issue: outlook crashes continuously for several employees,Software,High
The monitor connected to my workstation keeps disconnecting,Hardware,Medium
My credentials are being rejected by admin dashboard,Account Access,Medium
The production environment is unavailable company wide,Infrastructure,Critical
Please help. excel closes unexpectedly when I use it,Software,Medium
Please help. my office computer shuts down immediately after startup,Hardware,High
My company email account is locked,Account Access,Medium
I was billed twice for the same company purchase,Billing,High
Please help. the web application is unavailable company wide,Infrastructure,Critical
Please send me a password reset for company email,Account Access,Low
A suspicious attachment was sent to my Microsoft 365 account,Security,Medium
Sensitive company data from customer portal may have been stolen,Security,Critical
I need assistance because wiFi signal is weak in the meeting area,Network,Low
Support needed: internet latency is very high in the finance department,Network,Medium
Support needed: some employees are having trouble accessing the production server,Infrastructure,Medium
My Microsoft 365 account was disabled and important work is blocked,Account Access,High
I forgot my password for employee portal,Account Access,Low
My office computer will not turn on,Hardware,High
The internal portal is running unusually slowly,Infrastructure,Medium
Performance of the database server has degraded,Infrastructure,Medium
Internet latency is very high in the main office,Network,Medium
Urgent issue: i need help installing desktop application,Software,Low
Support needed: microsoft Teams stops responding after a few minutes,Software,Medium
I forgot my password for admin dashboard,Account Access,Low
The hard drive in my company laptop appears to have failed,Hardware,High
An important feature in Microsoft Teams has completely stopped working,Software,High
The internal portal is unavailable company wide,Infrastructure,Critical
Please help. an important feature in Outlook has completely stopped working,Software,High
Support needed: outlook is completely unusable and blocking my work,Software,High
I cannot remember my HR portal password,Account Access,Low
Support needed: i have completely lost access to customer portal and cannot continue working,Account Access,High
I cannot remember my admin dashboard password,Account Access,Low
I was charged the wrong price for software license,Billing,Medium
Urgent issue: my credentials are being rejected by customer portal,Account Access,Medium
Urgent issue: the production server is unavailable for many users,Infrastructure,High
I need assistance because the latest update for company application will not install,Software,Low
My HR portal account is locked,Account Access,Medium
The password reset link for HR portal has expired,Account Access,Low
Urgent issue: the keyboard on my desktop computer has a few keys that do not work,Hardware,Low
Urgent issue: eRP system crashes continuously for several employees,Software,High
Support needed: the amount on my support plan invoice is incorrect,Billing,Medium
Support needed: network performance is inconsistent in the support department,Network,Low
The desktop computer freezes randomly during work,Hardware,Medium
I need help installing ERP system,Software,Low
My company account credentials may have been compromised,Security,High
I need assistance because employees in the support department cannot connect to the company VPN,Network,High
I need help configuring company application,Software,Low
Support needed: internet latency is very high in the main office,Network,Medium
The production environment has completely crashed for all users,Infrastructure,Critical
The web application keeps crashing during business hours,Infrastructure,High
Please help. wiFi disconnects frequently in the finance department,Network,Medium
A major component of the web application is failing,Infrastructure,High
I need assistance because my refund for software license has not arrived,Billing,Medium
There was an unusual login attempt on Microsoft 365,Security,Medium
I need help installing CRM application,Software,Low
Excel displays an unexpected error,Software,Medium
The support department cannot connect to the corporate network,Network,High
The laptop has completely stopped working,Hardware,High
Please help. please send me a password reset for admin dashboard,Account Access,Low
Support needed: i need help resetting my password for company email,Account Access,Low
Urgent issue: login to Microsoft 365 keeps failing,Account Access,Medium
accounting software crashes when I try to open a file,Software,Medium
Login to HR portal keeps failing,Account Access,Medium
My access to Microsoft 365 suddenly stopped during critical work,Account Access,High
Please help. i was billed twice for the same service plan,Billing,High
Malware has infected systems connected to Microsoft 365,Security,Critical
My credentials are being rejected by company account,Account Access,Medium
CRM application failure is preventing the team from completing critical work,Software,High
The entire web application is offline and nobody can use it,Infrastructure,Critical
Please help. i urgently need access to company account for business operations,Account Access,High
Many employees cannot access the backend service,Infrastructure,High
Urgent issue: cRM application stops responding after a few minutes,Software,Medium
Sensitive company data from Microsoft 365 may have been stolen,Security,Critical
Urgent issue: there is an unexpected charge for service plan,Billing,Medium
Excel failure is preventing the team from completing critical work,Software,High
Someone may have stolen my cloud account login credentials,Security,High
I need assistance because an attacker gained administrator access to admin dashboard,Security,Critical
Please help. someone may have stolen my cloud account login credentials,Security,High
Internet latency is very high in the branch office,Network,Medium
Urgent issue: the password reset link for customer portal has expired,Account Access,Low
The hard drive in my workstation appears to have failed,Hardware,High
Please help. the display on my office computer keeps flickering,Hardware,Medium
I need assistance because network performance is inconsistent in the engineering floor,Network,Low
A suspicious attachment was sent to my cloud account account,Security,Medium
Urgent issue: someone may have stolen my company account login credentials,Security,High
WiFi signal is weak in the support department,Network,Low
Support needed: where can I download my service plan invoice,Billing,Low
I need assistance because my admin dashboard account is locked,Account Access,Medium
Malware has infected systems connected to HR portal,Security,Critical
The backend service keeps crashing during business hours,Infrastructure,High
I was billed twice for the same cloud subscription,Billing,High
Sensitive company data from employee portal may have been stolen,Security,Critical
I need assistance because the production server is responding slowly to requests,Infrastructure,Medium
My desktop computer overheats and shuts down occasionally,Hardware,Medium
Outlook failure is preventing the team from completing critical work,Software,High
Login to Microsoft 365 keeps failing,Account Access,Medium
I need assistance because the entire production server is offline and nobody can use it,Infrastructure,Critical
I need assistance because the network connection keeps dropping in the main office,Network,Medium
Urgent issue: please explain a charge for software license,Billing,Low
desktop application closes whenever I try to read a message,Software,Medium
My office computer overheats and shuts down occasionally,Hardware,Medium
My refund for support plan has not arrived,Billing,Medium
The password reset link for Microsoft 365 has expired,Account Access,Low
Please help. my desktop computer overheats and shuts down occasionally,Hardware,Medium
Please provide the receipt for software license,Billing,Low
Support needed: i received a suspicious email related to admin dashboard,Security,Medium
The connection becomes unstable throughout the day in the finance department,Network,Medium
Urgent issue: the production environment is running unusually slowly,Infrastructure,Medium
The internal portal keeps crashing during business hours,Infrastructure,High
I need assistance because my workstation will not turn on,Hardware,High
Support needed: money was taken even though the company purchase transaction failed,Billing,High
Please help. i received an unexpected security alert from customer portal,Security,Medium
I need assistance because wiFi coverage is poor in the branch office,Network,Low
I cannot access my customer portal account after several attempts,Account Access,Medium
I received a phishing message asking for my Microsoft 365 password,Security,High
Confidential information from admin dashboard was accessed without permission,Security,Critical
A major component of the internal portal is failing,Infrastructure,High
A major component of the production environment is failing,Infrastructure,High
Support needed: i want to change my company email password,Account Access,Low
Support needed: money was taken even though the service plan transaction failed,Billing,High
I need assistance because i am unable to authenticate to employee portal,Account Access,Medium
Please help. the office computer has completely stopped working,Hardware,High
My customer portal account is locked,Account Access,Medium
Please help. my access to customer portal suddenly stopped during critical work,Account Access,High
Urgent issue: my refund for software license is delayed,Billing,Medium
Malware has infected systems connected to admin dashboard,Security,Critical
Money was taken even though the cloud subscription transaction failed,Billing,High
Support needed: my access to cloud account suddenly stopped during critical work,Account Access,High
All customers have lost access to the web application,Infrastructure,Critical
I need assistance because i want to change my employee portal password,Account Access,Low
My credentials are being rejected by company email,Account Access,Medium
Employees in the engineering floor cannot connect to the company VPN,Network,High
Urgent issue: the laptop has completely stopped working,Hardware,High
Support needed: my desktop computer shuts down immediately after startup,Hardware,High
My cloud account account is locked,Account Access,Medium
Payment failed but money was deducted for service plan,Billing,High
I need assistance because the entire production environment for web application has gone offline,Infrastructure,Critical
Support needed: eRP system displays an unexpected error,Software,Medium
Support needed: please provide the receipt for monthly subscription,Billing,Low
The engineering floor cannot connect to the corporate network,Network,High
Support needed: employees in the meeting area cannot connect to the company VPN,Network,High
My access to HR portal suddenly stopped during critical work,Account Access,High
Confidential information from employee portal was accessed without permission,Security,Critical
Confidential information from Microsoft 365 was accessed without permission,Security,Critical
Please help. i cannot sign into admin dashboard,Account Access,Medium
I need assistance because some employees are having trouble accessing the production environment,Infrastructure,Medium
The latest update for CRM application will not install,Software,Low
I need assistance because my refund for monthly subscription is delayed,Billing,Medium
Urgent issue: my office computer screen flashes while I am working,Hardware,Medium
Excel installation fails on my computer,Software,Low
Urgent issue: i received a phishing message asking for my customer portal password,Security,High
Sensitive company data from HR portal may have been stolen,Security,Critical
Please help. my credentials are being rejected by admin dashboard,Account Access,Medium
I need help installing accounting software,Software,Low
The production environment is running unusually slowly,Infrastructure,Medium
I need assistance because accounting software displays an unexpected error,Software,Medium
My company laptop screen flashes while I am working,Hardware,Medium
The latest update for desktop application will not install,Software,Low
I need assistance because a duplicate charge appeared for support plan,Billing,High
Internet latency is very high in the meeting area,Network,Medium
A duplicate charge appeared for company purchase,Billing,High
Urgent issue: the display on my workstation keeps flickering,Hardware,Medium
I need assistance because the latest update for ERP system will not install,Software,Low
Support needed: the web application is experiencing a serious service disruption,Infrastructure,High
There was an unusual login attempt on company account,Security,Medium
Many employees cannot access the customer platform,Infrastructure,High
Please help. i urgently need access to customer portal for business operations,Account Access,High
Please help. the meeting area cannot connect to the corporate network,Network,High
The network connection keeps dropping in the meeting area,Network,Medium
Please help. my admin dashboard account was disabled and important work is blocked,Account Access,High
A security breach exposed confidential data in company email,Security,Critical
Sensitive company data from cloud account may have been stolen,Security,Critical
The cloud platform is running unusually slowly,Infrastructure,Medium
Outlook crashes whenever I open it,Software,Medium
Sensitive company data from company email may have been stolen,Security,Critical
ERP system freezes during normal work,Software,Medium
Support needed: my company laptop screen flashes while I am working,Hardware,Medium
Please help. accounting software installation fails on my computer,Software,Low
I need a copy of my invoice for cloud subscription,Billing,Low
